cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PP;PSdeG-PSOE;BNG;EU-V;UPyD;EQUO;PACMA;PUM+J;P.C.P.E.;C.XXI;UCE;SAIn;PH
15;"A Coruña";13;Brión;4;2;A;323;224;6;1;103;76;25;9;1;0;1;0;1;0;0;0;1
15;"A Coruña";14;"Cabana de Bergantiños";1;1;B;375;289;3;5;218;38;17;2;3;1;0;0;0;0;0;0;2
15;"A Coruña";14;"Cabana de Bergantiños";2;1;A;309;227;4;3;152;38;20;3;2;2;0;1;1;0;1;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;3;A;320;238;5;4;142;54;28;2;1;1;0;0;0;0;0;0;1
15;"A Coruña";14;"Cabana de Bergantiños";2;3;B;267;197;3;6;123;41;21;2;0;0;0;0;1;0;0;0;0
15;"A Coruña";15;Cabanas;1;3;B;373;267;4;9;143;71;36;3;0;1;0;0;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;1;U;950;693;2;8;356;280;30;13;3;0;0;1;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;4;U;962;719;3;10;368;279;47;8;1;1;1;0;1;0;0;0;0
15;"A Coruña";17;Cambre;1;1;A;548;368;11;12;162;98;22;31;13;12;2;2;1;0;0;1;1
15;"A Coruña";17;Cambre;1;1;B;490;333;9;3;150;98;32;23;8;5;4;1;0;0;0;0;0
15;"A Coruña";17;Cambre;1;2;A;645;448;6;8;244;112;40;19;7;2;5;1;1;0;1;0;2
15;"A Coruña";17;Cambre;1;2;B;659;444;9;11;233;116;38;23;5;1;3;1;2;0;1;0;1
15;"A Coruña";17;Cambre;1;4;B;838;622;13;6;278;208;38;44;22;6;3;2;0;1;0;0;1
15;"A Coruña";17;Cambre;1;7;B;572;404;9;9;192;120;33;22;8;2;3;3;0;1;0;1;1
15;"A Coruña";17;Cambre;1;8;A;538;352;9;4;149;99;42;29;12;3;3;0;1;0;0;1;0
15;"A Coruña";17;Cambre;1;11;B;565;373;14;7;143;125;46;17;14;2;3;1;0;0;1;0;0
15;"A Coruña";17;Cambre;2;1;A;566;387;13;6;186;110;28;26;7;5;2;1;2;1;0;0;0
15;"A Coruña";17;Cambre;2;2;B;266;189;0;5;87;64;9;15;3;3;1;0;1;0;0;0;1
15;"A Coruña";2;Ames;1;1;B;422;308;4;5;191;69;29;6;0;1;1;0;0;0;0;2;0
15;"A Coruña";2;Ames;3;5;B;790;570;15;7;272;120;79;38;25;3;2;6;0;1;0;1;1
15;"A Coruña";2;Ames;3;11;A;568;429;7;10;191;105;61;43;3;7;1;0;0;1;0;0;0
15;"A Coruña";2;Ames;3;13;B;628;429;18;4;201;104;57;26;12;4;2;0;0;0;0;0;1
15;"A Coruña";4;Ares;1;2;A;751;549;12;7;281;147;67;19;6;5;4;0;0;0;0;0;1
15;"A Coruña";4;Ares;1;3;B;566;415;7;2;190;140;58;10;5;1;2;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;1;1;B;886;570;11;8;245;179;72;36;10;2;4;1;2;0;0;0;0
15;"A Coruña";5;Arteixo;1;3;B;479;332;5;10;158;97;34;15;5;1;5;2;0;0;0;0;0
15;"A Coruña";13;Brión;3;1;A;925;623;5;13;356;142;67;18;9;8;3;1;0;0;0;0;1
15;"A Coruña";14;"Cabana de Bergantiños";1;1;A;824;604;10;10;389;113;67;8;0;5;1;1;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";1;2;B;357;289;1;3;202;59;22;2;0;0;0;0;0;0;0;0;0
15;"A Coruña";14;"Cabana de Bergantiños";2;2;B;305;204;2;4;142;35;19;1;1;0;0;0;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;3;U;732;498;4;6;235;223;20;7;0;0;1;2;0;0;0;0;0
15;"A Coruña";16;Camariñas;1;5;A;786;622;8;9;368;170;46;8;1;1;4;2;3;0;1;1;0
15;"A Coruña";17;Cambre;1;3;A;785;545;14;9;238;165;54;40;15;2;3;0;2;0;0;0;3
15;"A Coruña";17;Cambre;1;4;A;854;555;10;12;228;173;56;48;14;4;3;2;4;0;0;0;1
15;"A Coruña";17;Cambre;1;7;A;638;442;10;7;185;140;45;33;8;5;4;3;1;0;0;1;0
15;"A Coruña";17;Cambre;1;8;B;492;328;7;1;122;114;42;27;6;2;3;2;1;0;1;0;0
15;"A Coruña";17;Cambre;1;11;A;620;413;14;5;183;119;40;26;15;3;3;2;2;0;0;1;0
15;"A Coruña";17;Cambre;2;3;C;593;451;11;5;224;110;53;30;7;8;0;0;1;0;1;1;0
15;"A Coruña";19;Carballo;1;2;A;524;385;10;10;174;89;72;17;4;4;1;1;1;1;0;1;0
15;"A Coruña";19;Carballo;1;3;A;665;460;13;11;187;136;90;12;1;6;2;0;0;0;0;1;1
15;"A Coruña";19;Carballo;1;5;B;603;414;9;9;225;89;69;11;0;0;1;0;0;0;0;0;1
15;"A Coruña";17;Cambre;2;3;A;740;538;8;16;276;141;35;37;13;7;2;1;2;0;0;0;0
15;"A Coruña";17;Cambre;2;3;B;553;354;8;6;173;110;28;17;4;3;1;1;2;1;0;0;0
15;"A Coruña";17;Cambre;2;4;A;290;178;7;0;96;57;7;7;1;1;0;2;0;0;0;0;0
15;"A Coruña";17;Cambre;2;4;B;733;511;9;3;256;146;50;34;6;3;3;0;0;0;0;0;1
15;"A Coruña";19;Carballo;1;4;A;667;451;4;4;229;111;83;13;3;0;3;0;0;1;0;0;0
15;"A Coruña";19;Carballo;1;4;B;671;452;3;7;228;112;84;12;4;0;0;1;1;0;0;0;0
15;"A Coruña";19;Carballo;1;9;A;595;414;7;12;213;104;64;9;0;2;1;1;0;0;1;0;0
15;"A Coruña";19;Carballo;1;10;U;926;666;7;15;340;160;126;10;2;2;1;1;2;0;0;0;0
15;"A Coruña";19;Carballo;1;11;U;548;420;4;0;252;88;64;6;1;2;1;0;0;0;1;0;1
15;"A Coruña";19;Carballo;1;13;B;553;402;12;5;225;95;51;13;0;0;0;0;1;0;0;0;0
15;"A Coruña";19;Carballo;1;16;U;705;528;5;9;370;62;76;4;0;0;0;0;1;0;0;0;1
15;"A Coruña";19;Carballo;1;17;B;427;268;7;1;166;37;52;3;0;0;1;0;0;1;0;0;0
15;"A Coruña";19;Carballo;1;19;U;768;529;19;4;298;122;70;11;1;0;1;1;1;0;0;1;0
15;"A Coruña";19;Carballo;1;22;U;610;403;6;7;217;123;41;5;2;0;0;0;1;0;1;0;0
15;"A Coruña";19;Carballo;1;25;U;772;545;10;8;263;123;116;18;1;2;1;1;0;1;0;0;1
15;"A Coruña";19;Carballo;1;26;A;600;406;10;4;168;105;98;9;6;2;0;3;0;0;0;0;1
15;"A Coruña";19;Carballo;1;29;B;979;684;11;9;322;159;137;24;8;5;5;1;0;1;0;1;1
15;"A Coruña";19;Carballo;1;30;A;538;391;4;7;205;93;69;8;4;0;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;2;2;A;571;374;3;5;192;107;47;15;4;0;1;0;0;0;0;0;0
15;"A Coruña";5;Arteixo;4;3;C;460;295;6;4;148;105;25;4;0;1;0;0;1;1;0;0;0
15;"A Coruña";5;Arteixo;4;4;A;693;423;12;5;190;120;61;23;4;1;4;1;0;0;1;0;1
15;"A Coruña";6;Arzúa;1;1;A;718;540;11;14;320;90;91;10;1;2;0;0;0;1;0;0;0
15;"A Coruña";6;Arzúa;1;1;B;644;501;10;10;269;103;90;8;8;0;1;1;0;1;0;0;0
15;"A Coruña";6;Arzúa;1;6;U;552;333;6;14;190;48;66;8;1;0;0;0;0;0;0;0;0
15;"A Coruña";6;Arzúa;1;7;A;556;400;5;9;223;85;63;12;1;0;1;0;1;0;0;0;0
15;"A Coruña";8;Bergondo;1;1;A;785;612;19;18;323;166;49;23;6;5;3;0;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;1;B;589;405;4;11;193;124;40;16;9;6;1;1;0;0;0;0;0
15;"A Coruña";8;Bergondo;3;2;B;327;246;2;6;120;66;31;11;5;1;3;0;1;0;0;0;0
15;"A Coruña";9;Betanzos;1;1;A;416;290;4;7;161;76;25;10;1;1;1;3;0;0;1;0;0
15;"A Coruña";9;Betanzos;1;1;B;987;722;13;18;347;212;78;43;7;2;1;0;0;0;0;0;1
15;"A Coruña";9;Betanzos;1;4;U;971;694;8;11;322;207;91;33;8;11;1;1;1;0;0;0;0
15;"A Coruña";9;Betanzos;1;10;A;211;169;0;3;103;44;14;2;0;0;0;2;0;1;0;0;0
15;"A Coruña";9;Betanzos;1;10;C;363;275;1;4;136;92;24;14;0;3;0;0;1;0;0;0;0
15;"A Coruña";10;Boimorto;2;1;A;494;374;6;7;197;89;57;9;6;0;1;2;0;0;0;0;0
15;"A Coruña";19;Carballo;1;7;U;729;484;7;4;275;120;71;3;0;0;0;2;2;0;0;0;0
15;"A Coruña";19;Carballo;1;12;U;616;429;6;5;215;115;77;7;2;0;0;0;0;1;0;1;0
15;"A Coruña";19;Carballo;1;14;U;591;436;5;8;269;114;35;2;1;1;0;0;1;0;0;0;0
15;"A Coruña";19;Carballo;1;15;U;820;607;8;5;335;142;100;6;3;0;1;2;2;0;1;1;1
15;"A Coruña";19;Carballo;1;17;A;599;435;11;7;249;96;65;3;1;2;0;0;1;0;0;0;0
15;"A Coruña";19;Carballo;1;21;B;200;144;3;0;104;20;12;4;0;0;0;0;0;0;0;0;1
15;"A Coruña";19;Carballo;1;24;U;894;593;13;12;315;135;91;17;4;2;0;2;0;0;0;0;2
15;"A Coruña";19;Carballo;1;26;B;564;382;13;5;146;93;106;14;2;3;0;0;0;0;0;0;0
15;"A Coruña";19;Carballo;1;27;A;692;505;22;6;222;131;101;17;4;0;1;0;0;0;0;0;1
15;"A Coruña";20;Carnota;2;1;U;801;558;5;2;293;127;98;25;0;5;1;0;0;0;1;1;0
15;"A Coruña";21;Carral;1;2;B;389;270;5;3;189;57;12;3;0;1;0;0;0;0;0;0;0
15;"A Coruña";21;Carral;1;3;A;671;447;16;10;212;127;52;21;3;3;2;1;0;0;0;0;0
15;"A Coruña";21;Carral;1;3;B;740;497;15;5;229;144;61;31;6;2;2;0;0;0;1;1;0
15;"A Coruña";21;Carral;2;1;B;322;205;2;3;97;62;23;10;2;1;2;1;1;0;0;0;1
15;"A Coruña";22;Cedeira;1;1;U;689;489;7;2;266;124;69;12;3;1;5;0;0;0;0;0;0
15;"A Coruña";22;Cedeira;1;2;B;855;585;12;6;283;172;74;23;6;1;5;1;0;0;0;0;2
15;"A Coruña";23;Cee;1;2;B;842;617;11;9;287;194;83;20;8;2;0;1;1;0;1;0;0
15;"A Coruña";23;Cee;2;1;B;383;279;2;8;183;53;28;4;0;0;0;0;0;0;0;0;1
15;"A Coruña";20;Carnota;1;1;U;964;658;7;4;349;171;108;12;3;1;2;0;1;0;0;0;0
15;"A Coruña";21;Carral;1;1;U;926;626;15;5;317;196;50;31;6;2;2;0;0;0;1;1;0
15;"A Coruña";21;Carral;1;2;C;456;327;7;5;221;55;18;18;1;0;1;0;0;0;0;1;0
15;"A Coruña";21;Carral;2;1;A;409;279;9;6;134;85;31;12;0;0;1;1;0;0;0;0;0
15;"A Coruña";21;Carral;2;2;U;903;672;7;8;355;181;59;18;7;5;5;2;0;21;0;1;3
15;"A Coruña";22;Cedeira;1;3;A;828;560;6;5;287;168;68;17;4;1;2;0;0;1;0;0;1
15;"A Coruña";22;Cedeira;1;3;B;759;536;4;5;291;125;76;23;2;4;2;2;0;0;0;2;0
15;"A Coruña";22;Cedeira;1;4;B;284;202;2;3;124;37;34;0;1;0;0;0;1;0;0;0;0
15;"A Coruña";22;Cedeira;1;6;B;374;245;1;3;171;47;11;10;1;0;0;0;0;0;1;0;0
15;"A Coruña";23;Cee;1;1;A;881;649;2;6;321;205;99;14;0;1;1;0;0;0;0;0;0
15;"A Coruña";23;Cee;2;1;C;592;466;5;6;247;142;53;9;1;1;0;0;0;0;1;1;0
15;"A Coruña";24;Cerceda;1;1;B;803;632;14;17;304;208;69;9;5;0;2;1;1;1;1;0;0
15;"A Coruña";24;Cerceda;1;3;B;815;607;9;6;359;179;46;5;2;0;0;0;0;0;0;1;0
15;"A Coruña";24;Cerceda;1;4;B;730;560;10;9;392;89;39;9;0;4;2;2;3;0;0;0;1
15;"A Coruña";25;Cerdido;1;1;A;312;202;4;1;108;54;22;9;3;0;0;0;0;0;1;0;0
15;"A Coruña";25;Cerdido;1;1;B;378;234;4;0;125;73;20;9;1;1;0;0;0;0;0;1;0
15;"A Coruña";25;Cerdido;1;1;C;483;344;2;2;273;33;27;3;1;0;1;1;0;0;0;0;1
15;"A Coruña";26;Cesuras;1;1;C;390;254;2;4;198;28;17;2;0;0;0;0;2;0;0;1;0
15;"A Coruña";26;Cesuras;1;1;D;213;163;0;1;112;38;8;2;1;0;0;0;1;0;0;0;0
