cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSdeG-PSOE;PP;PODEMOS-EU-;Cs;BNG;VOX;"EN MAREA";PACMA;"RECORTES CE";CxG;PCOE;PCTG;EB;VOU;PUM+J;"C 21"
15;"A Coruña";9;Betanzos;1;9;U;592;445;3;5;151;113;57;56;23;25;6;3;0;1;2;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;10;A;666;540;4;12;202;118;71;62;30;31;5;2;1;1;1;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;10;B;333;251;2;4;97;64;33;24;3;13;0;5;0;1;4;1;0;0;0;0
15;"A Coruña";9;Betanzos;1;10;C;220;174;1;5;78;34;19;9;10;11;0;3;2;0;2;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;12;A;579;452;6;10;132;103;75;57;31;29;3;2;0;3;1;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;12;B;570;443;7;3;129;110;63;69;30;22;4;1;3;0;2;0;0;0;0;0
15;"A Coruña";10;Boimorto;1;1;B;394;264;6;2;86;91;13;16;35;7;1;2;2;0;1;2;0;0;0;0
15;"A Coruña";10;Boimorto;2;1;B;393;268;2;3;87;121;4;16;19;11;0;3;1;0;1;0;0;0;0;0
15;"A Coruña";11;Boiro;1;1;A;657;480;8;13;117;113;81;71;31;32;8;4;0;0;1;1;0;0;0;0
15;"A Coruña";11;Boiro;1;1;B;672;506;7;8;152;117;82;80;27;22;4;6;0;0;0;1;0;0;0;0
15;"A Coruña";11;Boiro;1;3;A;722;550;5;13;143;117;92;82;41;34;9;8;2;2;2;0;0;0;0;0
15;"A Coruña";11;Boiro;1;6;U;664;497;5;12;160;133;65;47;30;28;6;6;0;0;3;2;0;0;0;0
15;"A Coruña";11;Boiro;1;7;A;686;494;4;5;142;150;77;39;40;29;4;2;0;0;2;0;0;0;0;0
15;"A Coruña";11;Boiro;1;7;B;712;522;3;7;142;131;89;58;53;20;12;3;0;3;1;0;0;0;0;0
15;"A Coruña";11;Boiro;1;9;U;895;651;10;9;159;153;102;96;63;34;7;10;2;3;3;0;0;0;0;0
15;"A Coruña";11;Boiro;2;2;U;775;557;4;19;147;170;72;65;40;19;5;14;0;0;1;1;0;0;0;0
15;"A Coruña";11;Boiro;2;3;U;609;428;7;6;118;125;62;41;31;19;9;5;1;0;3;1;0;0;0;0
