cod_provincia;provincia;cod_municipio;municipio;distrito;seccion;mesa;censo;"votos totais";branco;nulos;PSOE;PP;"BNG-AGORA REP?BLICAS";PODEMOS-EU;Cs;VOX;PACMA;CPE;CxG;CV-EC;"RECORTES CERO-LV-GVE";PCPE-PCPC-PCPA;JUNTS;I.Fem;VOLT;PCTG;PACT;pirates.cat/ep;PUM+J;CXE;ALTER;PH;FAC;MCR;IZQP;IGRE;CONTIGO;SAIn;MIEL;AD?;AxS?;CEX-CREX-PREX
15;"A Coruña";9;Betanzos;1;6;A;778;546;7;6;198;146;58;39;51;21;8;1;1;1;1;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0
15;"A Coruña";9;Betanzos;1;6;B;704;505;11;10;162;138;69;28;45;21;3;2;3;1;2;0;1;2;1;1;0;0;1;0;1;0;0;0;1;0;0;0;0;2;0;0
15;"A Coruña";9;Betanzos;1;8;B;565;359;0;3;158;91;41;28;16;5;2;2;3;3;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
15;"A Coruña";9;Betanzos;1;8;C;582;372;6;2;186;82;31;27;25;2;2;3;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
15;"A Coruña";9;Betanzos;1;10;A;663;473;4;2;211;124;41;40;28;14;2;1;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;"A Coruña";9;Betanzos;1;10;B;333;223;5;6;94;54;16;17;16;3;7;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
15;"A Coruña";10;Boimorto;2;1;A;475;357;8;5;87;135;89;5;7;3;1;6;3;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
15;"A Coruña";11;Boiro;1;1;A;662;426;3;6;125;125;56;35;42;15;8;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
15;"A Coruña";11;Boiro;1;2;A;615;387;3;7;113;106;64;28;37;9;3;3;1;5;0;0;0;4;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";11;Boiro;1;2;B;654;410;4;5;110;129;79;23;25;8;11;11;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";11;Boiro;1;3;A;727;490;6;5;159;131;61;40;52;8;4;12;0;0;2;0;0;0;2;1;2;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
15;"A Coruña";11;Boiro;1;3;B;815;526;2;4;172;140;76;40;49;13;10;9;1;1;1;1;0;1;1;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
15;"A Coruña";11;Boiro;1;5;B;586;389;5;6;143;119;49;21;33;4;3;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";11;Boiro;1;7;B;711;473;3;5;134;145;94;39;27;7;3;6;2;2;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
15;"A Coruña";11;Boiro;1;8;A;538;322;1;3;83;104;46;22;33;13;6;5;0;2;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";11;Boiro;2;1;U;772;496;10;14;155;161;81;15;31;9;4;2;0;0;0;1;0;0;0;2;0;2;3;0;1;0;2;0;0;0;0;3;0;0;0;0
15;"A Coruña";11;Boiro;3;2;B;599;366;2;2;134;110;40;41;17;7;4;2;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
15;"A Coruña";12;Boqueixón;1;2;C;245;179;1;4;38;96;10;5;12;3;0;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0
15;"A Coruña";13;Brión;1;1;B;754;432;5;4;155;97;49;49;25;10;14;11;4;1;1;1;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;"A Coruña";13;Brión;2;1;A;564;297;5;8;108;80;38;17;17;12;4;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
15;"A Coruña";13;Brión;2;2;B;828;505;10;1;167;86;91;57;47;22;4;8;0;2;1;2;0;3;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
15;"A Coruña";13;Brión;3;1;A;926;536;10;6;240;133;46;29;31;11;13;7;2;2;2;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0
